Tier,Rank,Champion Name,Lane,Win Rate,Pick Rate,Ban Rate,Play Count
Emerald,73,리산드라,미드,51.34%,3.02%,0.52%,"11,060"
Emerald,74,시비르,바텀,51.36%,6.14%,1.14%,"22,445"
Emerald,75,다이애나,정글,50.83%,6.60%,1.61%,"24,153"
Emerald,76,니달리,정글,49.06%,6.29%,5.95%,"22,996"
Emerald,77,아이번,정글,52.84%,0.93%,0.20%,"3,393"
Emerald,78,오리아나,미드,50.01%,5.52%,1.40%,"20,191"
Emerald,79,크산테,탑,48.26%,10.24%,8.82%,"37,435"
Emerald,80,나르,탑,50.01%,5.02%,3.09%,"18,347"
Emerald,81,제드,미드,49.11%,6.45%,13.19%,"23,597"
Emerald,82,벨코즈,서폿,51.76%,1.55%,0.20%,"5,680"
Emerald,83,알리스타,서폿,50.00%,6.20%,1.45%,"22,674"
Emerald,84,렉사이,정글,51.57%,1.67%,0.86%,"6,122"
Emerald,85,워윅,정글,51.06%,2.04%,7.31%,"7,473"
Emerald,86,나피리,미드,52.88%,0.75%,0.31%,"2,729"
Emerald,87,코르키,바텀,49.52%,8.96%,5.65%,"32,764"
Emerald,88,그레이브즈,정글,48.92%,7.11%,7.48%,"25,997"
Emerald,89,우르곳,탑,51.69%,1.61%,0.17%,"5,905"
Emerald,90,릴리아,정글,50.05%,4.72%,2.39%,"17,272"
Emerald,91,문도 박사,탑,50.70%,3.34%,0.83%,"12,216"
Emerald,92,판테온,미드,51.97%,1.03%,1.11%,"3,775"
Emerald,93,노틸러스,서폿,49.15%,9.65%,8.94%,"35,283"
Emerald,94,샤코,서폿,50.12%,2.00%,24.28%,"7,297"
Emerald,95,자이라,정글,50.29%,2.55%,2.85%,"9,330"
Emerald,96,그웬,탑,50.79%,2.08%,1.47%,"7,594"
Emerald,97,카밀,탑,50.90%,2.55%,0.36%,"9,309"
Emerald,98,루시안,바텀,51.10%,4.65%,0.61%,"17,020"
Emerald,99,트린다미어,탑,51.77%,1.51%,0.58%,"5,509"
Emerald,100,베이가,미드,51.40%,1.52%,0.14%,"5,558"
Emerald,101,멜,미드,48.36%,8.45%,72.12%,"30,897"
Emerald,102,블리츠크랭크,서폿,48.54%,7.98%,22.37%,"29,197"
Emerald,103,바드,서폿,50.00%,3.63%,0.24%,"13,262"
Emerald,104,말파이트,미드,53.46%,0.60%,2.96%,"2,183"
Emerald,105,럭스,미드,51.45%,1.58%,1.09%,"5,763"
Emerald,106,하이머딩거,탑,52.21%,1.20%,1.19%,"4,405"
Emerald,107,그웬,정글,51.21%,0.78%,1.47%,"2,843"
Emerald,108,헤카림,정글,49.60%,4.88%,0.97%,"17,832"
Emerald,109,오로라,미드,48.66%,7.33%,10.58%,"26,804"
Emerald,110,자이라,서폿,50.48%,2.93%,2.85%,"10,726"
Emerald,111,베인,바텀,51.13%,2.01%,1.20%,"7,357"
Emerald,112,바루스,바텀,49.46%,9.98%,2.78%,"36,482"
Emerald,113,나미,서폿,50.33%,2.67%,0.16%,"9,775"
Emerald,114,유미,서폿,49.72%,8.57%,8.52%,"31,321"
Emerald,115,애쉬,바텀,49.24%,7.50%,6.45%,"27,421"
Emerald,116,쉔,탑,50.43%,2.49%,0.20%,"9,104"
Emerald,117,에코,미드,50.71%,1.68%,0.30%,"6,157"
Emerald,118,트위스티드 페이트,미드,50.09%,3.47%,0.23%,"12,707"
Emerald,119,자크,탑,50.89%,1.71%,1.67%,"6,247"
Emerald,120,볼리베어,탑,50.33%,2.62%,2.23%,"9,564"
Emerald,121,블라디미르,탑,49.78%,3.45%,1.13%,"12,632"
Emerald,122,오른,탑,50.16%,2.58%,0.12%,"9,430"
Emerald,123,르블랑,미드,48.48%,5.73%,35.63%,"20,960"
Emerald,124,카사딘,미드,50.68%,1.02%,0.20%,"3,737"
Emerald,125,흐웨이,바텀,51.60%,0.78%,10.43%,"2,841"
Emerald,126,스웨인,미드,51.12%,1.15%,0.72%,"4,200"
Emerald,127,야스오,미드,48.78%,6.79%,14.00%,"24,822"
Emerald,128,트리스타나,바텀,50.78%,2.67%,0.28%,"9,768"
Emerald,129,모데카이저,탑,49.85%,3.35%,1.53%,"12,257"
Emerald,130,아칼리,미드,48.69%,8.37%,9.08%,"30,590"
